Time,GDP_pc,Consumption,GDP_GWR,C_GWR
Jan-90,39331.60531,1165889,0.0000,0.0000
Apr-90,39351.83085,1181456.25,0.0005,0.0133
Jul-90,39239.0988,1199427.5,-0.0029,0.0151
Oct-90,38744.7342,1210407.75,-0.0127,0.0091
Jan-91,38444.83981,1216658,-0.0078,0.0052
Apr-91,38621.35388,1231874.75,0.0046,0.0124
Jul-91,38678.64283,1245873.75,0.0015,0.0113
Oct-91,38680.92933,1253899.25,0.0001,0.0064
Jan-92,39029.09426,1281827.75,0.0090,0.0220
Apr-92,39320.92242,1298335.75,0.0074,0.0128
Jul-92,39563.41687,1321708,0.0061,0.0178
Oct-92,39838.21943,1344070.25,0.0069,0.0168
Jan-93,39787.52278,1353211.5,-0.0013,0.0068
Apr-93,39898.0368,1371113.5,0.0028,0.0131
Jul-93,39951.93341,1390981.75,0.0013,0.0144
Oct-93,40366.35158,1409717,0.0103,0.0134
Jan-94,40648.73465,1427720.25,0.0070,0.0127
Apr-94,41078.93058,1445565.5,0.0105,0.0124
Jul-94,41185.94285,1468532.25,0.0026,0.0158
Oct-94,41530.56657,1487248,0.0083,0.0127
Jan-95,41566.39675,1498266,0.0009,0.0074
Apr-95,41572.29429,1519026.5,0.0001,0.0138
Jul-95,41791.21216,1536800.75,0.0053,0.0116
Oct-95,41946.15986,1550240,0.0037,0.0087
Jan-96,42155.32735,1571273.5,0.0050,0.0135
Apr-96,42736.8031,1597602,0.0137,0.0166
Jul-96,42980.15427,1612554.5,0.0057,0.0093
Oct-96,43288.15624,1636054.25,0.0071,0.0145
Jan-97,43452.48031,1657443.75,0.0038,0.0130
Apr-97,44048.53446,1672459,0.0136,0.0090
Jul-97,44452.04107,1700734.75,0.0091,0.0168
Oct-97,44694.02693,1726680.75,0.0054,0.0151
Jan-98,45025.15345,1739533.25,0.0074,0.0074
Apr-98,45317.88836,1773797.5,0.0065,0.0195
Jul-98,45742.67448,1799982.25,0.0093,0.0147
Oct-98,46341.73911,1831542.5,0.0130,0.0174
Jan-99,46662.09738,1853715.75,0.0069,0.0120
Apr-99,46892.68596,1889491.75,0.0049,0.0191
Jul-99,47356.1942,1923344.75,0.0098,0.0178
Oct-99,48016.70302,1964407.5,0.0139,0.0211
Jan-00,48068.43504,2003789.5,0.0011,0.0198
Apr-00,48827.49152,2036203,0.0157,0.0160
Jul-00,48760.08365,2065374.25,-0.0014,0.0142
Oct-00,48934.188,2094771.5,0.0036,0.0141
Jan-01,48682.85547,2122856.25,-0.0051,0.0133
Apr-01,48852.42393,2141103.5,0.0035,0.0086
Jul-01,48522.58553,2153469.75,-0.0068,0.0058
Oct-01,48531.20318,2185597.25,0.0002,0.0148
Jan-02,48849.15126,2203542,0.0065,0.0082
Apr-02,49035.84436,2234289.25,0.0038,0.0139
Jul-02,49129.30091,2261077.25,0.0019,0.0119
Oct-02,49085.5035,2288819,-0.0009,0.0122
Jan-03,49255.21521,2317757,0.0035,0.0126
Apr-03,49568.71269,2345933.75,0.0063,0.0121
Jul-03,50285.58186,2388678.5,0.0144,0.0181
Oct-03,50741.74618,2417726.25,0.0090,0.0121
Jan-04,50913.42941,2460190.5,0.0034,0.0174
Apr-04,51189.6734,2492783,0.0054,0.0132
Jul-04,51545.45709,2532850.5,0.0069,0.0159
Oct-04,51932.47536,2579524,0.0075,0.0183
Jan-05,52396.44436,2612074.75,0.0089,0.0125
Apr-05,52525.91765,2653526.5,0.0025,0.0157
Jul-05,52859.61975,2706742.75,0.0063,0.0199
Oct-05,53059.83705,2737479.25,0.0038,0.0113
Jan-06,53648.3071,2782916.75,0.0110,0.0165
Apr-06,53652.58739,2817331.5,0.0001,0.0123
Jul-06,53596.8934,2853400.5,-0.0010,0.0127
Oct-06,53915.42533,2880037.5,0.0059,0.0093
Jan-07,53923.20071,2923576.25,0.0001,0.0150
Apr-07,54110.60963,2956352.5,0.0035,0.0111
Jul-07,54264.45098,2991714,0.0028,0.0119
Oct-07,54456.01759,3033608.75,0.0035,0.0139
Jan-08,54024.42353,3057967.75,-0.0080,0.0080
Apr-08,54184.49395,3099094,0.0030,0.0134
Jul-08,53760.01531,3117692,-0.0079,0.0060
Oct-08,52473.8701,3053970.75,-0.0242,-0.0207
Jan-09,51779.53453,3033933.5,-0.0133,-0.0066
Apr-09,51598.99479,3045320.25,-0.0035,0.0037
Jul-09,51667.83302,3084862.25,0.0013,0.0129
Oct-09,52114.70408,3108695.25,0.0086,0.0077
Jan-10,52210.90563,3134797.75,0.0018,0.0084
Apr-10,52597.12303,3162101,0.0074,0.0087
Jul-10,52882.00231,3182275.5,0.0054,0.0064
Oct-10,53042.55203,3216804.5,0.0030,0.0108
Jan-11,52829.82155,3250497.25,-0.0040,0.0104
Apr-11,53120.82006,3286106,0.0055,0.0109
Jul-11,53002.50211,3301937,-0.0022,0.0048
Oct-11,53515.16311,3314322.5,0.0096,0.0037
Jan-12,53848.47618,3360066.75,0.0062,0.0137
Apr-12,53993.47067,3367199.75,0.0027,0.0021
Jul-12,53963.18274,3383610.75,-0.0006,0.0049
Oct-12,53922.27045,3411916.5,-0.0008,0.0083
Jan-13,54321.57564,3437384.5,0.0074,0.0074
Apr-13,54305.82406,3443282.75,-0.0003,0.0017
Jul-13,54626.51232,3465456.25,0.0059,0.0064
Oct-13,54955.30448,3503092.75,0.0060,0.0108
Jan-14,54710.95516,3530729.75,-0.0045,0.0079
Apr-14,55359.75386,3576860,0.0118,0.0130
Jul-14,55924.26269,3624949.25,0.0101,0.0134
Oct-14,56127.07097,3655632,0.0036,0.0084
Jan-15,56571.11193,3669782.5,0.0079,0.0039
Apr-15,56861.49635,3714934.75,0.0051,0.0122
Jul-15,56956.28113,3751977.25,0.0017,0.0099
Oct-15,56936.6531,3768414.25,-0.0003,0.0044
Jan-16,57166.25042,3794824.75,0.0040,0.0070
Apr-16,57252.73896,3838620,0.0015,0.0115
Jul-16,57457.29024,3879123.25,0.0036,0.0105
Oct-16,57716.27257,3918249.5,0.0045,0.0100
Jan-17,57962.62165,3965659.75,0.0043,0.0120
Apr-17,58129.11983,3990938.25,0.0029,0.0064
Jul-17,58457.97737,4029332,0.0056,0.0096
Oct-17,58928.29304,4097128,0.0080,0.0167
Jan-18,59411.33607,4147892.75,0.0082,0.0123
Apr-18,59739.37754,4204067,0.0055,0.0135
Jul-18,59967.95662,4250614.25,0.0038,0.0110
Oct-18,60084.95554,4281996.75,0.0019,0.0074
Jan-19,60461.40216,4306850,0.0062,0.0058
Apr-19,60621.39429,4371253.75,0.0026,0.0148
Jul-19,60922.13159,4413625.5,0.0049,0.0096
Oct-19,61194.39032,4447927.25,0.0045,0.0077
