Center_No,Sl.No.,Tot_enrol,S_1_5_Boys,S_1_5_Girls,S_6_8_Boys,S_6_8_Girls,Loc_type
KYZ-CU7CU7,77,111,48,43,10,10,Rural
KYZ-CU7CU8,78,246,70,69,53,54,Rural
KYZ-CU7CU9,79,367,102,107,95,63,Rural
KYZ-CU8CU0,80,393,98,96,98,101,Rural
KYZ-CU8CU1,81,233,69,72,50,42,Rural
KYZ-CU8CU2,82,168,49,46,34,39,Rural
KYZ-CU8CU3,83,150,44,51,18,37,Rural
KYZ-CU8CU4,84,342,106,88,73,75,Rural
KYZ-CU8CU5,85,625,205,156,131,133,Rural
KYZ-CU8CU6,86,75,75,0,0,0,Rural
KYZ-CU8CU7,87,165,0,97,0,68,Rural
KYZ-CU8CU8,88,618,175,186,122,135,Rural
KYZ-CU8CU9,89,662,221,184,140,117,Rural
KYZ-CU9CU0,90,507,154,123,118,112,Rural
KYZ-CU9CU1,91,97,55,42,0,0,City
KYZ-CU9CU2,92,302,188,0,114,0,City
KYZ-CU9CU3,93,285,154,0,131,0,City
KYZ-CU9CU4,94,421,97,130,88,106,City
KYZ-CU9CU5,95,356,0,178,0,178,City
KYZ-CU9CU6,96,357,0,214,0,143,City
KYZ-CU9CU7,97,489,258,0,231,0,City
KYZ-CU9CU8,98,127,32,40,22,33,City
KYZ-CU9CU9,99,329,90,82,73,84,City
KYZ-CU1CU0CU0,100,562,0,336,0,226,City
KYZ-CU1CU0CU1,101,26,12,14,0,0,City
KYZ-CU1CU0CU2,102,42,20,22,0,0,Rural
KYZ-CU1CU0CU3,103,68,39,29,0,0,Rural
KYZ-CU1CU0CU4,104,90,46,44,0,0,Rural
KYZ-CU1CU0CU5,105,55,31,24,0,0,Rural
KYZ-CU1CU0CU6,106,35,12,23,0,0,Rural
KYZ-CU1CU0CU7,107,350,94,108,70,78,Rural
KYZ-CU1CU0CU8,108,66,34,32,0,0,Rural
KYZ-CU1CU0CU9,109,242,71,80,50,41,Rural
KYZ-CU1CU1CU0,110,139,42,37,40,20,Rural
KYZ-CU1CU1CU1,111,29,16,13,0,0,Rural
KYZ-CU1CU1CU2,112,79,36,43,0,0,Rural
KYZ-CU1CU1CU3,113,139,58,81,0,0,Rural
KYZ-CU1CU1CU4,114,318,88,86,91,53,Rural
KYZ-CU1CU1CU5,115,74,24,23,13,14,Rural
KYZ-CU1CU1CU6,116,125,72,53,0,0,Rural
KYZ-CU1CU1CU7,117,345,0,0,199,146,Rural
KYZ-CU1CU1CU8,118,114,59,55,0,0,Rural
KYZ-CU1CU1CU9,119,316,0,0,178,138,Rural
KYZ-CU1CU2CU0,120,100,0,0,68,32,Rural
KYZ-CU1CU2CU1,121,160,75,85,0,0,Rural
KYZ-CU1CU2CU2,122,204,0,0,135,69,Rural
KYZ-CU1CU2CU3,123,278,0,0,197,81,Rural
KYZ-CU1CU2CU4,124,66,0,0,39,27,Rural
KYZ-CU1CU2CU5,125,242,84,62,42,54,Rural
KYZ-CU1CU2CU6,126,266,79,78,70,39,Rural
KYZ-CU1CU2CU7,127,50,27,23,0,0,Rural
KYZ-CU1CU2CU8,128,47,23,24,0,0,Rural
KYZ-CU1CU2CU9,129,275,82,74,68,51,Rural
KYZ-CU1CU3CU0,130,283,58,50,116,59,Rural
KYZ-CU1CU3CU1,131,565,163,151,119,132,Rural
MYZ-CU1,1,30,10,20,0,0,Rural
MYZ-CU2,2,213,56,80,37,40,Rural
MYZ-CU3,3,134,62,72,0,0,Rural
MYZ-CU5,5,58,16,23,10,9,Rural
MYZ-CU6,6,64,24,40,0,0,Rural
MYZ-CU7,7,18,8,10,0,0,Rural
MYZ-CU8,8,10,4,6,0,0,Rural
MYZ-CU9,9,155,45,47,37,26,Rural
MYZ-CU1CU0,10,165,40,55,35,35,Rural
MYZ-CU1CU1,11,126,55,38,22,11,Rural
MYZ-CU1CU2,12,175,50,45,42,38,Rural
MYZ-CU1CU3,13,407,110,108,100,89,Rural
MYZ-CU1CU4,14,136,30,18,44,44,Rural
MYZ-CU1CU5,15,48,16,24,3,5,Rural
MYZ-CU1CU6,16,35,13,16,3,3,Rural
MYZ-CU1CU7,17,73,27,30,7,9,Rural
MYZ-CU1CU8,18,39,20,11,3,5,Rural
MYZ-CU1CU9,19,260,61,76,64,59,Rural
MYZ-CU2CU0,20,650,177,191,154,128,Rural
MYZ-CU2CU1,21,177,54,40,47,36,Rural
MYZ-CU2CU2,22,148,65,48,16,19,Rural
MYZ-CU2CU3,23,62,27,35,0,0,Rural
MYZ-CU2CU4,24,484,147,137,97,103,Rural
MYZ-CU2CU5,25,36,20,16,0,0,Rural
MYZ-CU2CU6,26,74,36,38,0,0,Rural
MYZ-CU2CU7,27,303,162,0,141,0,Rural
MYZ-CU2CU8,28,255,0,133,0,122,Rural
MYZ-CU2CU9,29,346,105,100,80,61,Rural
MYZ-CU3CU0,30,309,104,108,44,53,Rural
MYZ-CU3CU1,31,526,160,155,97,114,Rural
MYZ-CU3CU2,32,490,124,127,117,122,Rural
MYZ-CU3CU3,33,170,58,48,38,26,Rural
MYZ-CU3CU4,34,52,17,9,10,16,Rural
MYZ-CU3CU5,35,327,103,83,80,61,Rural
MYZ-CU3CU6,36,125,31,40,28,26,Rural
MYZ-CU3CU7,37,28,13,15,0,0,Rural
MYZ-CU3CU8,38,134,43,33,37,21,Rural
MYZ-CU3CU9,39,33,21,12,0,0,Rural
MYZ-CU4CU0,40,251,68,68,59,56,Rural
MYZ-CU4CU1,41,224,75,75,34,40,Rural
MYZ-CU4CU2,42,30,10,20,0,0,Rural
MYZ-CU4CU3,43,91,32,29,15,15,Rural
MYZ-CU4CU4,44,208,65,59,50,34,Rural
MYZ-CU4CU5,45,510,134,145,108,123,Rural
MYZ-CU4CU6,46,387,102,100,94,91,Rural
MYZ-CU4CU7,47,206,57,67,36,46,Rural
MYZ-CU4CU8,48,118,38,33,22,25,Rural
MYZ-CU4CU9,49,147,52,71,8,16,Rural
MYZ-CU5CU0,50,110,32,30,29,19,Rural
MYZ-CU5CU1,51,33,15,10,7,1,Rural
MYZ-CU5CU2,52,211,52,67,48,44,Rural
MYZ-CU5CU3,53,240,72,66,60,42,Rural
MYZ-CU5CU4,54,126,37,37,33,19,Rural
MYZ-CU5CU5,55,30,10,11,4,5,Rural
MYZ-CU5CU6,56,260,55,64,86,55,Rural
MYZ-CU5CU7,57,210,60,61,50,39,Rural
MYZ-CU5CU8,58,268,90,84,47,47,Rural
MYZ-CU5CU9,59,32,11,21,0,0,Rural
MYZ-CU6CU0,60,258,89,64,54,51,Rural
MYZ-CU6CU1,61,219,57,42,69,51,Rural
MYZ-CU6CU2,62,340,102,100,69,69,Rural
MYZ-CU6CU3,63,561,150,144,141,126,Rural
MYZ-CU6CU4,64,239,92,52,47,48,Rural
MYZ-CU6CU5,65,18,10,8,0,0,Rural
MYZ-CU6CU6,66,148,48,43,27,30,Rural
MYZ-CU6CU7,67,111,64,0,47,0,City
MYZ-CU6CU8,68,423,212,0,211,0,City
MYZ-CU6CU9,69,165,0,83,0,82,City
MYZ-CU7CU0,70,434,0,220,0,214,City
MYZ-CU7CU1,71,11,6,5,0,0,Rural
MYZ-CU7CU3,73,317,81,66,101,69,Rural
MYZ-CU7CU4,74,168,39,61,27,41,Rural
MYZ-CU7CU5,75,67,27,19,13,8,Rural
MYZ-CU7CU6,76,100,39,27,15,19,Rural
MYZ-CU7CU7,77,193,55,65,33,40,Rural
MYZ-CU7CU8,78,100,43,34,16,7,Rural
MYZ-CU7CU9,79,63,22,17,12,12,Rural
MYZ-CU8CU0,80,229,74,75,37,43,Rural
MYZ-CU8CU1,81,380,117,86,87,90,Rural
MYZ-CU8CU2,82,27,15,12,0,0,Rural
MYZ-CU8CU3,83,96,52,44,0,0,Rural
MYZ-CU8CU4,84,20,8,12,0,0,Rural
MYZ-CU8CU5,85,528,207,181,61,79,Rural
MYZ-CU8CU6,86,129,49,42,16,22,Rural
MYZ-CU8CU7,87,227,58,65,54,50,Rural
MYZ-CU8CU8,88,159,49,42,41,27,Rural
MYZ-CU8CU9,89,216,121,0,95,0,Rural
MYZ-CU9CU0,90,202,0,109,0,93,Rural
MYZ-CU9CU1,91,477,142,122,121,92,Rural
MYZ-CU9CU2,92,43,22,21,0,0,Rural
MYZ-CU9CU3,93,21,11,10,0,0,Rural
MYZ-CU9CU4,94,480,144,115,114,107,Rural
MYZ-CU9CU5,95,216,66,56,58,36,Rural
MYZ-CU9CU6,96,147,36,35,33,43,Rural
MYZ-CU9CU7,97,229,58,78,54,39,Rural
MYZ-CU9CU8,98,135,71,64,0,0,Rural
MYZ-CU9CU9,99,105,0,0,66,39,Rural
MYZ-CU1CU0CU0,100,150,0,0,86,64,Rural
MYZ-CU1CU0CU1,101,273,89,54,73,57,Rural
MYZ-CU1CU0CU2,102,238,0,0,155,83,Rural
MYZ-CU1CU0CU3,103,203,59,42,68,34,City
MYZ-CU1CU0CU4,104,331,174,157,0,0,City
MYZ-CU1CU0CU5,105,558,106,104,213,135,City
MYZ-CU1CU0CU6,106,225,0,0,133,92,Rural
MYZ-CU1CU0CU7,107,184,0,0,107,77,Rural
MYZ-CU1CU0CU8,108,107,0,0,65,42,Rural
MYZ-CU1CU0CU9,109,146,0,0,92,54,Rural
MYZ-CU1CU1CU0,110,64,0,0,31,33,Rural
MYZ-CU1CU1CU1,111,217,0,0,160,57,Rural
MYZ-CU1CU1CU2,112,89,19,11,36,23,Rural
MYZ-CU1CU1CU3,113,16,11,5,0,0,Rural
MYZ-CU1CU1CU4,114,48,18,22,5,3,Rural
MYZ-CU1CU1CU5,115,141,74,67,0,0,Rural
AXZ-MYZ-CU1,1,182,0,0,0,182,City
AXZ-MYZ-CU2,2,259,0,0,144,115,City
AXZ-MYZ-CU3,3,216,0,0,216,0,City
AXZ-MYZ-CU4,4,394,0,0,195,199,City
AXZ-MYZ-CU5,5,179,0,0,91,88,City
AXZ-MYZ-CU6,6,318,0,0,145,173,City
AXZ-MYZ-CU7,7,293,107,103,43,40,City
AXZ-MYZ-CU8,8,277,0,0,151,126,City
AXZ-MYZ-CU1CU0,10,263,0,0,132,131,City
AXZ-MYZ-CU1CU1,11,305,0,0,158,147,City
AXZ-MYZ-CU1CU2,12,576,154,179,97,146,City
AXZ-MYZ-CU1CU3,13,195,0,0,91,104,City
AXZ-MYZ-CU1CU4,14,260,0,0,0,260,City
AXZ-MYZ-CU1CU5,15,175,0,0,175,0,City
AXZ-MYZ-CU1CU6,16,301,0,0,145,156,City
AXZ-MYZ-CU1CU7,17,127,0,0,48,79,City
AXZ-MYZ-CU1CU8,18,633,228,227,97,81,City
AXZ-MYZ-CU1CU9,19,193,0,0,103,90,City
AXZ-MYZ-CU2CU0,20,188,0,0,81,107,City
AXZ-MYZ-CU2CU1,21,352,0,0,185,167,City
AXZ-MYZ-CU2CU2,22,127,0,0,70,57,City
AXZ-MYZ-CU2CU3,23,326,96,109,52,69,City
AXZ-MYZ-CU2CU4,24,188,0,0,89,99,City
AXZ-MYZ-CU2CU5,25,282,0,0,160,122,City
AXZ-XZN-CU1,1,129,37,29,27,36,City
AXZ-XZN-CU2,2,237,79,59,54,45,City
AXZ-XZN-CU3,3,120,45,30,22,23,City
AXZ-XZN-CU5,5,256,67,71,60,58,City
AXZ-XZN-CU6,6,412,0,412,0,0,City
AXZ-XZN-CU7,7,396,196,200,0,0,City
AXZ-XZN-CU8,8,411,411,0,0,0,City
AXZ-XZN-CU9,9,345,26,177,0,142,City
AXZ-XZN-CU1CU0,10,157,46,48,37,26,City
AXZ-XZN-CU1CU1,11,535,242,293,0,0,City
AXZ-XZN-CU1CU2,12,208,65,60,47,36,City
AXZ-XZN-CU1CU4,14,238,127,111,0,0,City
AXZ-XZN-CU1CU5,15,230,57,66,57,50,City
AXZ-XZN-CU1CU7,17,194,50,48,63,33,City
AXZ-XZN-CU1CU8,18,114,31,31,30,22,City
AXZ-XZN-CU1CU9,19,202,55,68,38,41,City
AXZ-XZN-CU2CU0,20,376,186,190,0,0,City
AXZ-XZN-CU2CU1,21,289,92,76,61,60,City
AXZ-XZN-CU2CU2,22,305,77,77,80,71,City
AXZ-XZN-CU2CU3,23,383,120,124,80,59,City
AXZ-XZN-CU2CU4,24,356,93,85,104,74,City
AXZ-XZN-CU2CU5,25,487,151,336,0,0,City
AXZ-XZN-CU2CU6,26,448,265,183,0,0,City
AXZ-XZN-CU2CU7,27,248,110,138,0,0,City
AXZ-XZN-CU2CU8,28,339,0,339,0,0,City
AXZ-XZN-CU2CU9,29,159,159,0,0,0,City
AXZ-XZN-CU3CU1,31,449,225,224,0,0,City
AXZ-XZN-CU3CU2,32,219,114,105,0,0,City
AXZ-XZN-CU3CU3,33,235,68,54,49,64,City
AXZ-XZN-CU3CU4,34,258,137,121,0,0,City
AXZ-XZN-CU3CU5,35,244,117,127,0,0,City
AXZ-XZN-CU3CU6,36,452,210,242,0,0,City
AXZ-XZN-CU3CU7,37,114,32,29,24,29,City
AXZ-XZN-CU3CU8,38,219,123,96,0,0,City
AXZ-XZN-CU4CU0,40,134,41,35,35,23,City
AXZ-XZN-CU4CU1,41,441,196,245,0,0,City
AXZ-XZN-CU4CU2,42,611,291,320,0,0,City
AXZ-XZN-CU4CU3,43,402,195,207,0,0,City
AXZ-XZN-CU4CU4,44,359,150,146,25,38,City
AXZ-XZN-CU4CU5,45,469,171,192,50,56,City
GXZZZH-CU1,1,637,175,215,140,107,Urban
GXZZZH-CU2,2,187,50,55,48,34,Urban
GXZZZH-CU3,3,167,40,67,26,34,Urban
GXZZZH-CU4,4,235,61,69,54,51,Urban
GXZZZH-CU5,5,207,53,76,47,31,Urban
GXZZZH-CU6,6,54,20,18,11,5,Urban
GXZZZH-CU7,7,324,101,115,55,53,Urban
GXZZZH-CU8,8,736,232,212,167,125,Urban
GXZZZH-CU9,9,102,54,48,0,0,Urban
GXZZZH-CU1CU0,10,706,206,236,118,146,Urban
GXZZZH-CU1CU1,11,434,116,144,81,93,Urban
GXZZZH-CU1CU2,12,407,125,97,101,84,Urban
GXZZZH-CU1CU3,13,375,119,114,83,59,Urban
GXZZZH-CU1CU4,14,533,142,155,111,125,Urban
GXZZZH-CU1CU5,15,119,35,31,27,26,Urban
GXZZZH-CU1CU6,16,551,156,167,123,105,Urban
GXZZZH-CU1CU7,17,619,180,184,134,121,Urban
SYZYYB-CU1,1,231,53,70,52,56,Urban
SYZYYB-CU2,2,52,23,14,3,12,Urban
SYZYYB-CU3,3,158,34,59,27,38,Urban
SYZYYB-CU4,4,261,69,77,59,56,Urban
SYZYYB-CU5,5,140,31,54,25,30,Urban
SYZYYB-CU6,6,304,0,178,0,126,Urban
SYZYYB-CU7,7,306,178,0,128,0,Urban
SYZYYB-CU8,8,48,24,24,0,0,Urban
ZYD-CU1,1,362,94,101,103,64,Urban
ZYD-CU2,2,60,20,18,13,9,Urban
ZYD-CU3,3,129,40,45,17,27,Urban
ZYD-CU4,4,78,25,30,13,10,Urban
ZYD-CU5,5,178,54,49,37,38,Urban
ZYD-CU6,6,305,95,99,63,48,Urban
ZYD-CU7,7,406,124,115,88,79,Urban
ZYD-CU8,8,515,174,120,129,92,Urban
